Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
410,21,1,2,Canada,4.5,0,Yes,7.7,6,0,3,7
411,20,0,1,Spain,4.3,2,Yes,7.6,6,0,3,7
412,22,1,2,Denmark,3.1,4,No,8.7,8,1,2,4
413,19,0,1,Ireland,4,0,Yes,7.9,7,0,3,6
414,21,1,2,India,6.7,10,Yes,5.6,5,1,4,8
415,20,0,1,Switzerland,3,0,No,8.8,8,0,2,4
416,22,1,2,Turkey,4.6,2,Yes,7.6,6,0,3,7
417,19,0,1,USA,7.7,0,Yes,4.6,5,1,4,9
418,21,1,2,Mexico,6.5,10,Yes,5.7,6,0,3,7
419,20,0,1,France,3.6,0,No,8.4,7,1,2,5
420,22,1,2,Canada,4.4,2,Yes,7.8,6,0,3,7
421,19,0,1,Spain,4.2,0,Yes,7.7,6,0,3,7
422,21,1,2,Denmark,3,4,No,8.8,8,1,2,4
423,20,0,1,Ireland,3.9,2,Yes,8,7,0,3,6
424,22,1,2,India,6.8,10,Yes,5.5,5,1,4,8
425,19,0,1,Switzerland,2.9,0,No,8.9,8,0,2,4
426,21,1,2,Turkey,4.5,0,Yes,7.7,6,0,3,7
427,20,0,1,USA,7.8,2,Yes,4.5,5,1,4,9
428,22,1,2,Mexico,6.6,10,Yes,5.6,6,0,3,7
429,19,0,1,France,3.5,0,No,8.5,7,1,2,5
430,21,1,2,Canada,4.3,0,Yes,7.9,6,0,3,7
431,20,0,1,Spain,4.1,2,Yes,7.8,6,0,3,7
432,22,1,2,Denmark,2.9,4,No,8.9,8,1,2,4
433,19,0,1,Ireland,3.8,0,Yes,8.1,7,0,3,6
434,21,1,2,India,6.9,10,Yes,5.4,5,1,4,8
435,20,0,1,Switzerland,2.8,0,No,9,8,0,2,4
436,22,1,2,Turkey,4.4,2,Yes,7.8,6,0,3,7
437,19,0,1,USA,7.9,0,Yes,4.4,5,1,4,9
438,21,1,2,Mexico,6.7,10,Yes,5.5,6,0,3,7
439,20,0,1,France,3.4,0,No,8.6,7,1,2,5
440,22,1,2,Canada,4.2,2,Yes,8,6,0,3,7
441,19,0,1,Spain,4,0,Yes,7.9,6,0,3,7
442,21,1,2,Denmark,2.8,4,No,9,8,1,2,4
443,20,0,1,Ireland,3.7,2,Yes,8.2,7,0,3,6
444,22,1,2,India,7,10,Yes,5.3,5,1,4,8
445,19,0,1,Switzerland,2.7,0,No,9.1,8,0,2,4
446,21,1,2,Turkey,4.3,0,Yes,7.9,6,0,3,7
447,20,0,1,USA,8,2,Yes,4.3,5,1,4,9
448,22,1,2,Mexico,6.8,10,Yes,5.4,6,0,3,7
449,19,0,1,France,3.3,0,No,8.7,7,1,2,5
450,21,1,2,Canada,4.1,0,Yes,8.1,6,0,3,7
451,20,0,1,Spain,3.9,2,Yes,8,6,0,3,7
452,22,1,2,Denmark,2.7,4,No,9.1,8,1,2,4
453,19,0,1,Ireland,3.6,0,Yes,8.3,7,0,3,6
454,21,1,2,India,7.1,10,Yes,5.2,5,1,4,8
455,20,0,1,Switzerland,2.6,0,No,9.2,8,0,2,4
456,22,1,2,Turkey,4.2,2,Yes,8,6,0,3,7
457,19,0,1,USA,8.1,0,Yes,4.2,5,1,4,9
458,21,1,2,Mexico,6.9,10,Yes,5.3,6,0,3,7
459,20,0,1,France,3.2,0,No,8.8,7,1,2,5
460,22,1,2,Canada,4,2,Yes,8.2,6,0,3,7
461,19,0,1,Spain,3.8,0,Yes,8.1,6,0,3,7
462,21,1,2,Denmark,2.6,4,No,9.2,8,1,2,4
463,20,0,1,Ireland,3.5,2,Yes,8.4,7,0,3,6
464,22,1,2,India,7.2,10,Yes,5.1,5,1,4,8
465,19,0,1,Switzerland,2.5,0,No,9.3,8,0,2,4
466,21,1,2,Turkey,4.1,0,Yes,8.1,6,0,3,7
467,20,0,1,USA,8.2,2,Yes,4.1,5,1,4,9
468,22,1,2,Mexico,7,10,Yes,5.2,6,0,3,7
469,19,0,1,France,3.1,0,No,8.9,7,1,2,5
470,21,1,2,Canada,3.9,0,Yes,8.3,6,0,3,7
471,20,0,1,Spain,3.7,2,Yes,8.2,6,0,3,7
472,22,1,2,Denmark,2.5,4,No,9.3,8,1,2,4
473,19,0,1,Ireland,3.4,0,Yes,8.5,7,0,3,6
474,21,1,2,India,7.3,10,Yes,5,5,1,4,8
475,20,0,1,Switzerland,2.4,0,No,9.4,8,0,2,4
476,22,1,2,Turkey,4,2,Yes,8.2,6,0,3,7
477,19,0,1,USA,8.3,0,Yes,4,5,1,4,9
478,21,1,2,Mexico,7.1,10,Yes,5.1,6,0,3,7
479,20,0,1,France,3,0,No,9,7,1,2,5
480,22,1,2,Canada,3.8,2,Yes,8.4,6,0,3,7
481,19,0,1,Spain,3.6,0,Yes,8.3,6,0,3,7
482,21,1,2,Denmark,2.4,4,No,9.4,8,1,2,4
483,20,0,1,Ireland,3.3,2,Yes,8.6,7,0,3,6
484,22,1,2,India,7.4,10,Yes,4.9,5,1,4,8
485,19,0,1,Switzerland,2.3,0,No,9.5,8,0,2,4
486,21,1,2,Turkey,3.9,0,Yes,8.3,6,0,3,7
487,20,0,1,USA,8.4,2,Yes,3.9,5,1,4,9
488,22,1,2,Mexico,7.2,10,Yes,5,6,0,3,7
489,19,0,1,France,2.9,0,No,9.1,7,1,2,5
490,21,1,2,Canada,3.7,0,Yes,8.5,6,0,3,7
491,20,0,1,Spain,3.5,2,Yes,8.4,6,0,3,7
492,22,1,2,Denmark,2.3,4,No,9.5,8,1,2,4
493,19,0,1,Ireland,3.2,0,Yes,8.7,7,0,3,6
494,21,1,2,India,7.5,10,Yes,4.8,5,1,4,8
495,20,0,1,Switzerland,2.2,0,No,9.6,8,0,2,4
496,22,1,2,Turkey,3.8,2,Yes,8.4,6,0,3,7
497,19,0,1,USA,8.5,0,Yes,3.8,5,1,4,9
498,21,1,2,Mexico,7.3,10,Yes,4.9,6,0,3,7
499,20,0,1,France,2.8,0,No,9.2,7,1,2,5
500,22,1,2,Canada,3.6,2,Yes,8.6,6,0,3,7
501,19,0,1,Brazil,6.2,10,Yes,6.3,6,0,3,7
502,21,1,2,China,4.5,11,No,7.8,7,1,2,5
503,20,0,1,Netherlands,3.8,0,No,8.2,8,0,2,4
504,22,1,2,New Zealand,4.7,0,Yes,7.5,7,1,3,6
505,19,0,1,Singapore,5.1,2,Yes,7,6,0,3,7
506,21,1,2,Malaysia,5.5,10,Yes,6.8,6,0,3,7
507,20,0,1,UAE,6.5,0,Yes,6.5,5,1,4,8
508,22,1,2,Poland,4.2,4,No,7.9,7,0,2,5
509,19,0,1,India,6.8,10,Yes,6,5,1,4,8
510,21,1,2,Canada,4.8,0,Yes,7.4,7,0,3,6
511,20,0,1,Brazil,6.1,0,Yes,6.4,6,0,3,7
512,22,1,2,China,4.4,11,No,7.9,7,1,2,5
513,19,0,1,Netherlands,3.7,2,No,8.3,8,0,2,4
514,21,1,2,New Zealand,4.6,0,Yes,7.6,7,1,3,6
515,20,0,1,Singapore,5.2,2,Yes,6.9,6,0,3,7
516,22,1,2,Malaysia,5.6,10,Yes,6.7,6,0,3,7
517,19,0,1,UAE,6.6,0,Yes,6.4,5,1,4,8
518,21,1,2,Poland,4.1,4,No,8,7,0,2,5
519,20,0,1,India,6.9,10,Yes,5.9,5,1,4,8
520,22,1,2,Canada,4.7,2,Yes,7.5,7,0,3,6
521,19,0,1,Brazil,6,10,Yes,6.5,6,0,3,7
522,21,1,2,China,4.3,11,No,8,7,1,2,5
523,20,0,1,Netherlands,3.6,0,No,8.4,8,0,2,4
524,22,1,2,New Zealand,4.5,4,Yes,7.7,7,1,3,6
525,19,0,1,Singapore,5.3,2,Yes,6.8,6,0,3,7
526,21,1,2,Malaysia,5.7,10,Yes,6.6,6,0,3,7
527,20,0,1,UAE,6.7,0,Yes,6.3,5,1,4,8
528,22,1,2,Poland,4,4,No,8.1,7,0,2,5
529,19,0,1,India,7,10,Yes,5.8,5,1,4,8
530,21,1,2,Canada,4.6,0,Yes,7.6,7,0,3,6
531,20,0,1,Brazil,5.9,2,Yes,6.6,6,0,3,7
532,22,1,2,China,4.2,11,No,8.1,7,1,2,5
533,19,0,1,Netherlands,3.5,0,No,8.5,8,0,2,4
534,21,1,2,New Zealand,4.4,4,Yes,7.8,7,1,3,6
535,20,0,1,Singapore,5.4,2,Yes,6.7,6,0,3,7
536,22,1,2,Malaysia,5.8,10,Yes,6.5,6,0,3,7
537,19,0,1,UAE,6.8,0,Yes,6.2,5,1,4,8
538,21,1,2,Poland,3.9,4,No,8.2,7,0,2,5
539,20,0,1,India,7.1,10,Yes,5.7,5,1,4,8
540,22,1,2,Canada,4.5,2,Yes,7.7,7,0,3,6
541,19,0,1,Brazil,5.8,10,Yes,6.7,6,0,3,7
542,21,1,2,China,4.1,11,No,8.2,7,1,2,5
543,20,0,1,Netherlands,3.4,0,No,8.6,8,0,2,4
544,22,1,2,New Zealand,4.3,0,Yes,7.9,7,1,3,6
545,19,0,1,Singapore,5.5,2,Yes,6.6,6,0,3,7
546,21,1,2,Malaysia,5.9,10,Yes,6.4,6,0,3,7
547,20,0,1,UAE,6.9,0,Yes,6.1,5,1,4,8
548,22,1,2,Poland,3.8,4,No,8.3,7,0,2,5
549,19,0,1,India,7.2,10,Yes,5.6,5,1,4,8
550,21,1,2,Canada,4.4,0,Yes,7.8,7,0,3,6
551,20,0,1,Brazil,5.7,2,Yes,6.8,6,0,3,7
552,22,1,2,China,4,11,No,8.3,7,1,2,5
553,19,0,1,Netherlands,3.3,0,No,8.7,8,0,2,4
554,21,1,2,New Zealand,4.2,4,Yes,8,7,1,3,6
555,20,0,1,Singapore,5.6,2,Yes,6.5,6,0,3,7
556,22,1,2,Malaysia,6,10,Yes,6.3,6,0,3,7
557,19,0,1,UAE,7,0,Yes,6,5,1,4,8
558,21,1,2,Poland,3.7,4,No,8.4,7,0,2,5
559,20,0,1,India,7.3,10,Yes,5.5,5,1,4,8
560,22,1,2,Canada,4.3,2,Yes,7.9,7,0,3,6
561,19,0,1,Brazil,5.6,10,Yes,6.9,6,0,3,7
562,21,1,2,China,3.9,11,No,8.4,7,1,2,5
563,20,0,1,Netherlands,3.2,0,No,8.8,8,0,2,4
564,22,1,2,New Zealand,4.1,0,Yes,8.1,7,1,3,6
565,19,0,1,Singapore,5.7,2,Yes,6.4,6,0,3,7
566,21,1,2,Malaysia,6.1,10,Yes,6.2,6,0,3,7
567,20,0,1,UAE,7.1,0,Yes,5.9,5,1,4,8
568,22,1,2,Poland,3.6,4,No,8.5,7,0,2,5
569,19,0,1,India,7.4,10,Yes,5.4,5,1,4,8
570,21,1,2,Canada,4.2,0,Yes,8,7,0,3,6
571,20,0,1,Spain,6.1,0,Yes,7.2,5,0,4,7
572,23,1,2,Denmark,3.8,1,No,7.8,8,1,2,4
573,19,0,1,Ireland,5.5,2,Yes,6.8,6,0,4,8
574,22,1,2,India,7.2,4,Yes,5.9,4,0,5,9
575,21,0,1,Switzerland,4.2,0,No,7.5,7,1,2,5
576,24,1,2,Turkey,6.8,2,Yes,6.2,5,0,4,8
577,20,0,1,USA,5.9,0,Yes,6.7,6,1,3,7
578,22,1,2,Mexico,6.5,4,Yes,6.1,5,0,4,8
579,19,0,1,France,4.7,1,No,7.4,7,0,2,5
580,23,1,2,Canada,5.2,0,Yes,7,6,1,3,6
581,21,0,1,UK,6.3,2,Yes,6.4,5,0,4,8
582,24,1,2,Italy,4.9,4,No,7.3,7,1,2,5
583,20,0,1,Russia,6.7,0,Yes,6,5,0,4,8
584,22,1,2,China,5.8,11,Yes,6.5,6,1,3,7
585,19,0,1,Japan,4.5,1,No,7.6,8,0,2,4
586,23,1,2,Poland,6.4,4,Yes,6.3,5,0,4,8
587,21,0,1,Finland,4.1,0,No,7.7,7,1,2,5
588,24,1,2,Spain,6.6,2,Yes,6.2,5,0,4,8
589,20,0,1,Denmark,4.4,0,No,7.4,7,1,2,5
590,22,1,2,Ireland,5.7,1,Yes,6.8,6,0,3,7
591,19,0,1,India,7,0,Yes,5.8,4,0,5,9
592,23,1,2,Switzerland,4.3,4,No,7.5,7,1,2,5
593,21,0,1,Turkey,6.9,2,Yes,6.1,5,0,4,8
594,24,1,2,USA,5.6,0,Yes,6.9,6,1,3,7
595,20,0,1,Mexico,6.2,4,Yes,6.3,5,0,4,8
596,21,1,1,France,5.8,0,Yes,6.7,6,0,3,7
597,23,0,2,Canada,4.9,2,No,7.3,7,1,2,5
598,20,1,1,UK,6.4,4,Yes,6.2,5,0,4,8
599,22,0,2,Italy,5.1,1,No,7.1,7,1,2,5
600,19,1,1,Russia,6.7,0,Yes,6,4,0,4,8
601,24,0,2,China,5.5,11,Yes,6.8,6,1,3,7
602,21,1,1,Japan,4.3,1,No,7.6,8,0,2,4
603,23,0,2,Poland,6.2,0,Yes,6.4,5,0,4,8
604,20,1,1,Finland,4.5,4,No,7.4,7,1,2,5
605,22,0,2,Spain,6.3,2,Yes,6.3,5,0,4,8
606,19,1,1,Denmark,4.7,0,No,7.2,7,1,2,5
607,24,0,2,Ireland,5.9,1,Yes,6.6,6,0,3,7
608,21,1,1,India,7.1,4,Yes,5.7,4,0,5,9
609,23,0,2,Switzerland,4.4,0,No,7.4,7,1,2,5
610,20,1,1,Turkey,6.6,2,Yes,6.2,5,0,4,8
611,22,0,2,USA,5.4,0,Yes,6.9,6,1,3,7
612,19,1,1,Mexico,6.5,4,Yes,6.1,5,0,4,8
613,24,0,2,France,4.8,1,No,7.3,7,1,2,5
614,21,1,1,Canada,5.7,0,Yes,6.7,6,0,3,7
615,23,0,2,UK,6.1,2,Yes,6.4,5,0,4,8
616,20,1,1,Italy,4.6,4,No,7.2,7,1,2,5
617,22,0,2,Russia,6.8,0,Yes,5.9,4,0,5,9
618,19,1,1,China,5.6,11,Yes,6.8,6,1,3,7
619,24,0,2,Japan,4.2,1,No,7.5,8,0,2,4
620,21,1,1,Poland,6.3,2,Yes,6.3,5,0,4,8
621,23,0,2,Finland,4.4,0,No,7.4,7,1,2,5
622,20,1,1,Spain,6.5,4,Yes,6.2,5,0,4,8
623,22,0,2,Denmark,4.6,1,No,7.3,7,1,2,5
624,19,1,1,Ireland,5.8,0,Yes,6.6,6,0,3,7
625,24,0,2,India,7,2,Yes,5.8,4,0,5,9
626,21,1,1,Switzerland,4.5,4,No,7.3,7,1,2,5
627,23,0,2,Turkey,6.7,0,Yes,6.1,5,0,4,8
628,20,1,1,USA,5.5,1,Yes,6.8,6,1,3,7
629,22,0,2,Mexico,6.4,4,Yes,6.2,5,0,4,8
630,19,1,1,France,4.7,0,No,7.2,7,1,2,5
631,24,0,2,Canada,5.6,2,Yes,6.7,6,0,3,7
632,21,1,1,UK,6.2,4,Yes,6.3,5,0,4,8
633,23,0,2,Italy,4.8,1,No,7.1,7,1,2,5
634,20,1,1,Russia,6.9,0,Yes,5.9,4,0,5,9
635,22,0,2,China,5.7,11,Yes,6.7,6,1,3,7
636,19,1,1,Japan,4.4,1,No,7.4,8,0,2,4
637,24,0,2,Poland,6.1,2,Yes,6.4,5,0,4,8
638,21,1,1,Finland,4.3,0,No,7.5,7,1,2,5
639,23,0,2,Spain,6.4,4,Yes,6.2,5,0,4,8
640,20,1,1,Denmark,4.5,1,No,7.3,7,1,2,5
641,22,0,2,Ireland,5.9,0,Yes,6.5,6,0,3,7
642,19,1,1,India,7.2,2,Yes,5.7,4,0,5,9
643,24,0,2,Switzerland,4.6,4,No,7.2,7,1,2,5
644,21,1,1,Turkey,6.8,0,Yes,6,5,0,4,8
645,23,0,2,USA,5.3,1,Yes,6.8,6,1,3,7
646,22,1,2,Mexico,6.3,4,Yes,6.2,5,0,4,8
647,20,0,1,France,4.8,0,No,7.1,7,1,2,5
648,23,1,2,Canada,5.7,2,Yes,6.6,6,0,3,7
649,21,0,1,UK,6.2,1,Yes,6.3,5,0,4,8
650,24,1,2,Italy,4.7,4,No,7.2,7,1,2,5
651,19,0,1,Russia,6.8,0,Yes,5.9,4,0,5,9
652,22,1,2,China,5.6,11,Yes,6.7,6,1,3,7
653,20,0,1,Japan,4.3,1,No,7.5,8,0,2,4
654,23,1,2,Poland,6.2,2,Yes,6.3,5,0,4,8
655,21,0,1,Finland,4.4,0,No,7.4,7,1,2,5
656,24,1,2,Spain,6.5,4,Yes,6.1,5,0,4,8
657,19,0,1,Denmark,4.6,1,No,7.3,7,1,2,5
658,22,1,2,Ireland,5.8,0,Yes,6.6,6,0,3,7
659,20,0,1,India,7.1,2,Yes,5.8,4,0,5,9
660,23,1,2,Switzerland,4.5,4,No,7.3,7,1,2,5
661,21,0,1,Turkey,6.7,0,Yes,6,5,0,4,8
662,24,1,2,USA,5.4,1,Yes,6.8,6,1,3,7
663,19,0,1,Mexico,6.4,2,Yes,6.2,5,0,4,8
664,22,1,2,France,4.7,4,No,7.2,7,1,2,5
665,20,0,1,Canada,5.6,0,Yes,6.7,6,0,3,7
666,23,1,2,UK,6.3,1,Yes,6.2,5,0,4,8
667,21,0,1,Italy,4.8,2,No,7.1,7,1,2,5
668,24,1,2,Russia,6.9,0,Yes,5.9,4,0,5,9
669,19,0,1,China,5.7,11,Yes,6.7,6,1,3,7
670,22,1,2,Japan,4.4,1,No,7.4,8,0,2,4
671,20,0,1,Poland,6.1,4,Yes,6.4,5,0,4,8
672,23,1,2,Finland,4.3,0,No,7.5,7,1,2,5
673,21,0,1,Spain,6.4,2,Yes,6.2,5,0,4,8
674,24,1,2,Denmark,4.5,1,No,7.3,7,1,2,5
675,19,0,1,Ireland,5.9,0,Yes,6.5,6,0,3,7
676,22,1,2,India,7.2,4,Yes,5.7,4,0,5,9
677,20,0,1,Switzerland,4.6,2,No,7.2,7,1,2,5
678,23,1,2,Turkey,6.8,0,Yes,6,5,0,4,8
679,21,0,1,USA,5.3,1,Yes,6.8,6,1,3,7
680,24,1,2,Mexico,6.2,4,Yes,6.3,5,0,4,8
681,19,0,1,France,4.7,0,No,7.2,7,1,2,5
682,22,1,2,Canada,5.8,2,Yes,6.6,6,0,3,7
683,20,0,1,UK,6.1,1,Yes,6.4,5,0,4,8
684,23,1,2,Italy,4.8,4,No,7.1,7,1,2,5
685,21,0,1,Russia,6.7,0,Yes,6,4,0,5,9
686,24,1,2,China,5.5,11,Yes,6.8,6,1,3,7
687,19,0,1,Japan,4.2,1,No,7.5,8,0,2,4
688,22,1,2,Poland,6.3,2,Yes,6.2,5,0,4,8
689,20,0,1,Finland,4.4,0,No,7.4,7,1,2,5
690,23,1,2,Spain,6.5,4,Yes,6.1,5,0,4,8
691,21,0,1,Denmark,4.6,1,No,7.3,7,1,2,5
692,24,1,2,Ireland,5.9,0,Yes,6.5,6,0,3,7
693,19,0,1,India,7,2,Yes,5.8,4,0,5,9
694,22,1,2,Switzerland,4.5,4,No,7.3,7,1,2,5
695,20,0,1,Turkey,6.6,0,Yes,6.1,5,0,4,8
696,23,1,2,USA,5.5,1,Yes,6.7,6,1,3,7
697,21,0,1,Mexico,6.3,2,Yes,6.2,5,0,4,8
698,24,1,2,France,4.8,4,No,7.1,7,1,2,5
699,19,0,1,Canada,5.7,0,Yes,6.6,6,0,3,7
700,22,1,2,UK,6.2,1,Yes,6.3,5,0,4,8
701,20,0,1,Italy,4.7,2,No,7.2,7,1,2,5
702,23,1,2,Russia,6.8,0,Yes,5.9,4,0,5,9
703,21,0,1,China,5.6,11,Yes,6.7,6,1,3,7
704,24,1,2,Japan,4.3,1,No,7.5,8,0,2,4
705,19,0,1,Poland,6.2,4,Yes,6.3,5,0,4,8
